,PAYS,Location,Longitude,Latitude,Date,Iodine_131,Caesium_134,Caesium_137
0,Sweden,RISOE,12.07,55.7,1986-04-27,1.0,0.0,0.24
24,Finland,KONALA(Helsinki)NW,25.0,60.13,1986-04-28,15.0,0.37136930232558124,0.5536206896551723
22,Finland,KONALA(Helsinki)NW,25.0,60.13,1986-04-28,18.9,0.37136930232558124,0.5536206896551723
21,Finland,KONALA(Helsinki)NW,25.0,60.13,1986-04-28,31.0,0.37136930232558124,0.5536206896551723
20,Finland,NURMIJAERVI,24.7,60.45,1986-04-28,0.0,7.2,11.9
19,Finland,KONALA(Helsinki)NW,25.0,60.13,1986-04-28,11.1,0.37136930232558124,0.5536206896551723
18,Sweden,STOCKHOLM,18.08,59.33,1986-04-28,11.6,0.935,1.66
17,Sweden,UMEAA,20.25,63.83,1986-04-28,0.000367,3.2e-05,6.8e-05
16,Sweden,RISOE,12.07,55.7,1986-04-28,0.0046,0.00054,0.00098
15,Sweden,STOCKHOLM,18.08,59.33,1986-04-28,8.72,0.785,1.4
14,Sweden,OESTERSUND,14.67,63.17,1986-04-28,0.000925,0.000112,0.0
13,Sweden,STOCKHOLM,18.08,59.33,1986-04-28,11.8,0.926,1.62
23,Finland,KONALA(Helsinki)NW,25.0,60.13,1986-04-28,16.7,0.37136930232558124,0.5536206896551723
11,Sweden,STOCKHOLM,18.08,59.33,1986-04-28,0.621,0.0339,0.0671
10,Sweden,OESTERSUND,14.67,63.17,1986-04-28,0.0,0.0,0.0002
9,Finland,NURMIJAERVI,24.7,60.45,1986-04-28,0.0,0.82,1.4
8,Sweden,LJUNGBYHED,13.92,56.82,1986-04-28,0.0379,0.0162,0.0289
7,Sweden,LJUNGBYHED,13.92,56.82,1986-04-28,2.77,0.481,0.885
6,Norway,VAERNES,0.0,0.0,1986-04-28,7.0,0.0,2.0
5,Norway,OSLO,9.8,59.9,1986-04-28,0.0,0.0,0.13
4,Belgium,MOL,5.12,51.18,1986-04-28,0.0,0.0,3.1e-05
3,Norway,KJELLER,10.66,59.9,1986-04-28,0.12,0.0,0.02
2,Finland,NURMIJAERVI,24.7,60.45,1986-04-28,0.0,0.95,1.79
1,Norway,BERGEN,10.66,59.9,1986-04-28,0.0002,0.0,0.0
12,Sweden,STOCKHOLM,18.08,59.33,1986-04-28,5.06,0.526,0.948
56,Norway,KJELLER,10.66,59.9,1986-04-29,7.0,0.0,3.0
55,Finland,KONALA(Helsinki)NW,25.0,60.13,1986-04-29,2.41,0.37136930232558124,0.5536206896551723
54,Norway,OSLO,9.8,59.9,1986-04-29,0.0,0.0,0.45
49,Sweden,GOETEBORG,12.0,57.75,1986-04-29,0.011,0.00828,0.0148
52,Norway,OSLO,9.8,59.9,1986-04-29,0.0,0.0,0.35
51,Norway,VAERNES,0.0,0.0,1986-04-29,9.0,0.0,3.0
50,Sweden,GOETEBORG,12.0,57.75,1986-04-29,0.469,0.111,0.202
57,Norway,BERGEN,10.66,59.9,1986-04-29,0.3,0.0,0.1
53,Norway,OSLO,9.8,59.9,1986-04-29,0.0,0.0,0.4
59,Finland,KONALA(Helsinki)NW,25.0,60.13,1986-04-29,2.5,0.37136930232558124,0.5536206896551723
65,Sweden,RISOE,12.07,55.7,1986-04-29,0.0147,0.0043,0.0074
61,Finland,KONALA(Helsinki)NW,25.0,60.13,1986-04-29,4.0,0.37136930232558124,0.5536206896551723
62,Finland,KONALA(Helsinki)NW,25.0,60.13,1986-04-29,3.1,0.37136930232558124,0.5536206896551723
63,Austria,VIENNA.,16.36,48.21,1986-04-29,24.161,0.625129909090909,0.9306186144578327
64,Sweden,RISOE,12.07,55.7,1986-04-29,0.00061,0.0,9e-05
66,Hungary,BUDAPEST,19.1,47.5,1986-04-29,0.0005,0.0,5e-05
67,Austria,VIENNA.,16.36,48.21,1986-04-29,40.33,0.625129909090909,0.9306186144578327
68,Finland,KONALA(Helsinki)NW,25.0,60.13,1986-04-29,6.0,0.37136930232558124,0.5536206896551723
69,Finland,KONALA(Helsinki)NW,25.0,60.13,1986-04-29,7.7,0.37136930232558124,0.5536206896551723
48,Italy,SALUGGIA(IFEC),8.02,45.21,1986-04-29,0.0,0.0,0.6584179577464782
60,Norway,OSLO,9.8,59.9,1986-04-29,0.0,0.0,1.05
47,Sweden,STOCKHOLM,18.08,59.33,1986-04-29,6.02,0.611,1.06
58,Finland,NURMIJAERVI,24.7,60.45,1986-04-29,0.0,0.177,0.32
45,Sweden,STOCKHOLM,18.08,59.33,1986-04-29,2.83,0.182,0.306
46,Sweden,STOCKHOLM,18.08,59.33,1986-04-29,2.65,0.233,0.415
25,Finland,KONALA(Helsinki)NW,25.0,60.13,1986-04-29,0.56,0.37136930232558124,0.5536206896551723
26,Finland,KONALA(Helsinki)NW,25.0,60.13,1986-04-29,0.294,0.37136930232558124,0.5536206896551723
27,Finland,KONALA(Helsinki)NW,25.0,60.13,1986-04-29,0.31,0.37136930232558124,0.5536206896551723
28,Germany,BERLIN-WEST,13.42,52.5,1986-04-29,0.088,0.0,0.0012
29,Finland,KONALA(Helsinki)NW,25.0,60.13,1986-04-29,0.224,0.37136930232558124,0.5536206896551723
30,Finland,KONALA(Helsinki)NW,25.0,60.13,1986-04-29,0.179,0.37136930232558124,0.5536206896551723
32,Germany,BROTJACKLRIEGEL,12.78,49.2,1986-04-29,2.2,0.0,0.83
33,Finland,KONALA(Helsinki)NW,25.0,60.13,1986-04-29,1.31,0.37136930232558124,0.5536206896551723
34,Finland,KONALA(Helsinki)NW,25.0,60.13,1986-04-29,1.7,0.37136930232558124,0.5536206896551723
31,Finland,KONALA(Helsinki)NW,25.0,60.13,1986-04-29,4.9,0.37136930232558124,0.5536206896551723
43,Sweden,STOCKHOLM,18.08,59.33,1986-04-29,4.97,0.419,0.731
36,Germany,ANSBACH,10.59,49.3,1986-04-29,0.69,0.0,0.56
37,Norway,OSLO,9.8,59.9,1986-04-29,0.0,0.0,1.8
44,Sweden,STOCKHOLM,18.08,59.33,1986-04-29,4.34,0.306,0.532
38,Finland,NURMIJAERVI,24.7,60.45,1986-04-29,0.0,0.058,0.096
39,Sweden,UMEAA,20.25,63.83,1986-04-29,0.708,0.00121,0.0022
40,Sweden,UMEAA,20.25,63.83,1986-04-29,0.08,0.00873,0.0145
41,Sweden,STOCKHOLM,18.08,59.33,1986-04-29,2.66,0.558,0.93
42,Sweden,STOCKHOLM,18.08,59.33,1986-04-29,2.93,0.532,0.884
35,Finland,KONALA(Helsinki)NW,25.0,60.13,1986-04-29,2.23,0.37136930232558124,0.5536206896551723
134,Germany,BERLIN-WEST,13.42,52.5,1986-04-30,2.64,1.021,0.7103390810810806
135,Finland,NURMIJAERVI,24.7,60.45,1986-04-30,0.0,0.033,0.056
136,Finland,NURMIJAERVI,24.7,60.45,1986-04-30,0.0,0.094,0.155
141,Austria,LINZ,14.3,48.31,1986-04-30,11.371501,1.420974,1.488901
138,Austria,KLAGENFURT,14.33,46.63,1986-04-30,4.292,0.63085,1.184
139,Germany,ANSBACH,10.59,49.3,1986-04-30,5.8,0.0,2.9
140,Austria,LINZ,14.3,48.31,1986-04-30,11.314882,1.870807,2.395003
133,Austria,KLAGENFURT,14.33,46.63,1986-04-30,0.08103,0.010582,0.01813
137,Austria,LINZ,14.3,48.31,1986-04-30,9.701829,1.733288,2.393043
132,Austria,LINZ,14.3,48.31,1986-04-30,13.39248,2.462631,2.911603
122,Austria,VIENNA.,16.36,48.21,1986-04-30,58.09,0.625129909090909,0.9306186144578327
130,United Kingdom,BERKELEY,-2.45,51.69,1986-04-30,0.0001,0.0,0.0
129,Sweden,OESTERSUND,14.67,63.17,1986-04-30,0.481,0.0112,0.0189
128,Austria,VIENNA.,16.36,48.21,1986-04-30,34.706,0.625129909090909,0.9306186144578327
